STATE/UT,Year,CAUSE,Male,Female,Total
JAMMU & KASHMIR,2013,Total Tempo/Vans,72,12,84
JAMMU & KASHMIR,2013,Total Jeep,24,11,35
JAMMU & KASHMIR,2013,Total Car,92,24,116
JHARKHAND,2013,Truck/Lorry (Government),25,15,40
JHARKHAND,2013,Truck/Lorry (Private),490,30,520
JHARKHAND,2013,Bus (Government),0,0,0
JHARKHAND,2013,Bus (Private),187,58,245
JHARKHAND,2013,Tempo/Vans (Government),0,0,0
JHARKHAND,2013,Tempo/Vans (Private),232,35,267
JHARKHAND,2013,Jeep (Government),0,1,1
JHARKHAND,2013,Jeep (Private),92,15,107
JHARKHAND,2013,Car (Government),0,0,0
JHARKHAND,2013,Car (Private),139,26,165
JHARKHAND,2013,Three Wheeler,83,17,100
JHARKHAND,2013,Two Wheeler,750,74,824
JHARKHAND,2013,Bicycle,39,9,48
JHARKHAND,2013,Pedestrian,93,21,114
JHARKHAND,2013,Others (Please Specify),190,25,215
JHARKHAND,2013,Total Deaths (Persons),2320,326,2646
JHARKHAND,2013,Total Truck/Lorry,515,45,560
JHARKHAND,2013,Total Bus,187,58,245
JHARKHAND,2013,Total Tempo/Vans,232,35,267
JHARKHAND,2013,Total Jeep,92,16,108
JHARKHAND,2013,Total Car,139,26,165
KARNATAKA,2013,Truck/Lorry (Government),18,0,18
KARNATAKA,2013,Truck/Lorry (Private),1056,140,1196
KARNATAKA,2013,Bus (Government),347,93,440
KARNATAKA,2013,Bus (Private),400,99,499
KARNATAKA,2013,Tempo/Vans (Government),12,5,17
KARNATAKA,2013,Tempo/Vans (Private),475,99,574
KARNATAKA,2013,Jeep (Government),5,1,6
KARNATAKA,2013,Jeep (Private),289,54,343
KARNATAKA,2013,Car (Government),5,0,5
KARNATAKA,2013,Car (Private),714,113,827
KARNATAKA,2013,Three Wheeler,329,75,404
KARNATAKA,2013,Two Wheeler,1944,211,2155
KARNATAKA,2013,Bicycle,27,0,27
KARNATAKA,2013,Pedestrian,493,118,611
KARNATAKA,2013,Others (Please Specify),1599,323,1922
KARNATAKA,2013,Total Deaths (Persons),7713,1331,9044
KARNATAKA,2013,Total Truck/Lorry,1074,140,1214
KARNATAKA,2013,Total Bus,747,192,939
KARNATAKA,2013,Total Tempo/Vans,487,104,591
KARNATAKA,2013,Total Jeep,294,55,349
KARNATAKA,2013,Total Car,719,113,832
KERALA,2013,Truck/Lorry (Government),0,0,0
KERALA,2013,Truck/Lorry (Private),110,10,120
KERALA,2013,Bus (Government),36,11,47
KERALA,2013,Bus (Private),82,36,118
KERALA,2013,Tempo/Vans (Government),0,0,0
KERALA,2013,Tempo/Vans (Private),47,8,55
KERALA,2013,Jeep (Government),3,0,3
KERALA,2013,Jeep (Private),70,9,79
KERALA,2013,Car (Government),0,0,0
KERALA,2013,Car (Private),222,70,292
KERALA,2013,Three Wheeler,215,60,275
KERALA,2013,Two Wheeler,1612,205,1817
KERALA,2013,Bicycle,121,4,125
KERALA,2013,Pedestrian,986,317,1303
KERALA,2013,Others (Please Specify),23,1,24
KERALA,2013,Total Deaths (Persons),3527,731,4258
KERALA,2013,Total Truck/Lorry,110,10,120
KERALA,2013,Total Bus,118,47,165
KERALA,2013,Total Tempo/Vans,47,8,55
KERALA,2013,Total Jeep,73,9,82
KERALA,2013,Total Car,222,70,292
MADHYA PRADESH,2013,Truck/Lorry (Government),11,4,15
MADHYA PRADESH,2013,Truck/Lorry (Private),1193,204,1397
