STATE/UT,Year,CAUSE,Male,Female,Total
BIHAR,2005,Others (Please Specify),365,57,422
BIHAR,2005,Total Deaths (Persons),1784,364,2148
BIHAR,2005,Total Truck/Lorry,465,76,541
BIHAR,2005,Total Bus,300,67,367
BIHAR,2005,Total Tempo/Vans,88,27,115
BIHAR,2005,Total Jeep,238,79,317
BIHAR,2005,Total Car,118,24,142
BIHAR,2006,Truck/Lorry (Government),17,7,24
BIHAR,2006,Truck/Lorry (Private),460,73,533
BIHAR,2006,Bus (Government),28,2,30
BIHAR,2006,Bus (Private),270,67,337
BIHAR,2006,Tempo/Vans (Government),9,2,11
BIHAR,2006,Tempo/Vans (Private),231,40,271
BIHAR,2006,Jeep (Government),18,10,28
BIHAR,2006,Jeep (Private),197,37,234
BIHAR,2006,Car (Government),29,2,31
BIHAR,2006,Car (Private),77,28,105
BIHAR,2006,Three Wheeler,32,8,40
BIHAR,2006,Two Wheeler,131,23,154
BIHAR,2006,Bicycle,60,4,64
BIHAR,2006,Pedestrian,45,11,56
BIHAR,2006,Others (Please Specify),248,65,313
BIHAR,2006,Total Deaths (Persons),1852,379,2231
BIHAR,2006,Total Truck/Lorry,477,80,557
BIHAR,2006,Total Bus,298,69,367
BIHAR,2006,Total Tempo/Vans,240,42,282
BIHAR,2006,Total Jeep,215,47,262
BIHAR,2006,Total Car,106,30,136
BIHAR,2007,Truck/Lorry (Government),2,3,5
BIHAR,2007,Truck/Lorry (Private),571,88,659
BIHAR,2007,Bus (Government),12,13,25
BIHAR,2007,Bus (Private),323,92,415
BIHAR,2007,Tempo/Vans (Government),2,0,2
BIHAR,2007,Tempo/Vans (Private),160,57,217
BIHAR,2007,Jeep (Government),13,10,23
BIHAR,2007,Jeep (Private),316,82,398
BIHAR,2007,Car (Government),10,6,16
BIHAR,2007,Car (Private),100,42,142
BIHAR,2007,Three Wheeler,122,33,155
BIHAR,2007,Two Wheeler,202,47,249
BIHAR,2007,Bicycle,61,4,65
BIHAR,2007,Pedestrian,66,35,101
BIHAR,2007,Others (Please Specify),243,89,332
BIHAR,2007,Total Deaths (Persons),2203,601,2804
BIHAR,2007,Total Truck/Lorry,573,91,664
BIHAR,2007,Total Bus,335,105,440
BIHAR,2007,Total Tempo/Vans,162,57,219
BIHAR,2007,Total Jeep,329,92,421
BIHAR,2007,Total Car,110,48,158
BIHAR,2008,Truck/Lorry (Government),6,4,10
BIHAR,2008,Truck/Lorry (Private),701,153,854
BIHAR,2008,Bus (Government),12,1,13
BIHAR,2008,Bus (Private),301,51,352
BIHAR,2008,Tempo/Vans (Government),8,2,10
BIHAR,2008,Tempo/Vans (Private),185,40,225
BIHAR,2008,Jeep (Government),30,8,38
BIHAR,2008,Jeep (Private),388,87,475
BIHAR,2008,Car (Government),1,1,2
BIHAR,2008,Car (Private),103,21,124
BIHAR,2008,Three Wheeler,82,18,100
BIHAR,2008,Two Wheeler,363,36,399
BIHAR,2008,Bicycle,52,5,57
BIHAR,2008,Pedestrian,92,23,115
BIHAR,2008,Others (Please Specify),630,67,697
BIHAR,2008,Total Deaths (Persons),2954,517,3471
BIHAR,2008,Total Truck/Lorry,707,157,864
BIHAR,2008,Total Bus,313,52,365
BIHAR,2008,Total Tempo/Vans,193,42,235
BIHAR,2008,Total Jeep,418,95,513
BIHAR,2008,Total Car,104,22,126
BIHAR,2009,Truck/Lorry (Government),53,17,70
BIHAR,2009,Truck/Lorry (Private),852,140,992
BIHAR,2009,Bus (Government),49,10,59
BIHAR,2009,Bus (Private),329,86,415
BIHAR,2009,Tempo/Vans (Government),36,0,36
BIHAR,2009,Tempo/Vans (Private),341,77,418
BIHAR,2009,Jeep (Government),3,1,4
BIHAR,2009,Jeep (Private),435,111,546
BIHAR,2009,Car (Government),6,0,6
BIHAR,2009,Car (Private),158,30,188
BIHAR,2009,Three Wheeler,95,53,148
BIHAR,2009,Two Wheeler,355,48,403
BIHAR,2009,Bicycle,67,12,79
BIHAR,2009,Pedestrian,220,58,278
BIHAR,2009,Others (Please Specify),600,163,763
BIHAR,2009,Total Deaths (Persons),3599,806,4405
BIHAR,2009,Total Truck/Lorry,905,157,1062
BIHAR,2009,Total Bus,378,96,474
BIHAR,2009,Total Tempo/Vans,377,77,454
BIHAR,2009,Total Jeep,438,112,550
BIHAR,2009,Total Car,164,30,194
BIHAR,2010,Truck/Lorry (Government),43,5,48
BIHAR,2010,Truck/Lorry (Private),1040,132,1172
BIHAR,2010,Bus (Government),12,7,19
BIHAR,2010,Bus (Private),403,122,525
BIHAR,2010,Tempo/Vans (Government),3,0,3
BIHAR,2010,Tempo/Vans (Private),248,81,329
BIHAR,2010,Jeep (Government),10,3,13
BIHAR,2010,Jeep (Private),399,123,522
BIHAR,2010,Car (Government),15,1,16
BIHAR,2010,Car (Private),224,51,275
BIHAR,2010,Three Wheeler,223,64,287
BIHAR,2010,Two Wheeler,335,58,393
BIHAR,2010,Bicycle,86,19,105
BIHAR,2010,Pedestrian,235,31,266
BIHAR,2010,Others (Please Specify),624,96,720
BIHAR,2010,Total Deaths (Persons),3900,793,4693
BIHAR,2010,Total Truck/Lorry,1083,137,1220
BIHAR,2010,Total Bus,415,129,544
BIHAR,2010,Total Tempo/Vans,251,81,332
BIHAR,2010,Total Jeep,409,126,535
BIHAR,2010,Total Car,239,52,291
BIHAR,2011,Truck/Lorry (Government),35,13,48
BIHAR,2011,Truck/Lorry (Private),949,149,1098
BIHAR,2011,Bus (Government),31,10,41
BIHAR,2011,Bus (Private),592,122,714
BIHAR,2011,Tempo/Vans (Government),4,0,4
BIHAR,2011,Tempo/Vans (Private),306,71,377
BIHAR,2011,Jeep (Government),12,2,14
BIHAR,2011,Jeep (Private),370,71,441
BIHAR,2011,Car (Government),1,0,1
BIHAR,2011,Car (Private),301,48,349
BIHAR,2011,Three Wheeler,187,25,212
BIHAR,2011,Two Wheeler,535,88,623
BIHAR,2011,Bicycle,108,28,136
BIHAR,2011,Pedestrian,118,34,152
BIHAR,2011,Others (Please Specify),726,136,862
BIHAR,2011,Total Deaths (Persons),4275,797,5072
BIHAR,2011,Total Truck/Lorry,984,162,1146
BIHAR,2011,Total Bus,623,132,755
BIHAR,2011,Total Tempo/Vans,310,71,381
BIHAR,2011,Total Jeep,382,73,455
BIHAR,2011,Total Car,302,48,350
BIHAR,2012,Truck/Lorry (Government),16,0,16
BIHAR,2012,Truck/Lorry (Private),823,133,956
BIHAR,2012,Bus (Government),23,2,25
BIHAR,2012,Bus (Private),738,126,864
BIHAR,2012,Tempo/Vans (Government),1,0,1
BIHAR,2012,Tempo/Vans (Private),361,81,442
BIHAR,2012,Jeep (Government),7,1,8
BIHAR,2012,Jeep (Private),393,79,472
BIHAR,2012,Car (Government),13,0,13
BIHAR,2012,Car (Private),223,62,285
BIHAR,2012,Three Wheeler,179,31,210
BIHAR,2012,Two Wheeler,549,89,638
BIHAR,2012,Bicycle,88,7,95
BIHAR,2012,Pedestrian,145,49,194
BIHAR,2012,Others (Please Specify),693,144,837
BIHAR,2012,Total Deaths (Persons),4252,804,5056
BIHAR,2012,Total Truck/Lorry,839,133,972
BIHAR,2012,Total Bus,761,128,889
BIHAR,2012,Total Tempo/Vans,362,81,443
BIHAR,2012,Total Jeep,400,80,480
BIHAR,2012,Total Car,236,62,298
CHHATTISGARH,2001,Truck/Lorry (Government),38,17,55
CHHATTISGARH,2001,Truck/Lorry (Private),372,64,436
CHHATTISGARH,2001,Bus (Government),53,10,63
CHHATTISGARH,2001,Bus (Private),16,4,20
CHHATTISGARH,2001,Tempo/Vans (Government),14,4,18
CHHATTISGARH,2001,Tempo/Vans (Private),52,13,65
CHHATTISGARH,2001,Jeep (Government),9,3,12
CHHATTISGARH,2001,Jeep (Private),133,22,155
CHHATTISGARH,2001,Car (Government),1,0,1
CHHATTISGARH,2001,Car (Private),30,5,35
CHHATTISGARH,2001,Three Wheeler,10,1,11
CHHATTISGARH,2001,Two Wheeler,202,21,223
CHHATTISGARH,2001,Bicycle,36,5,41
CHHATTISGARH,2001,Pedestrian,48,17,65
CHHATTISGARH,2001,Others (Please Specify),129,11,140
CHHATTISGARH,2001,Total Deaths (Persons),1143,197,1340
CHHATTISGARH,2001,Total Truck/Lorry,410,81,491
CHHATTISGARH,2001,Total Bus,69,14,83
CHHATTISGARH,2001,Total Tempo/Vans,66,17,83
CHHATTISGARH,2001,Total Jeep,142,25,167
CHHATTISGARH,2001,Total Car,31,5,36
CHHATTISGARH,2002,Truck/Lorry (Government),5,0,5
CHHATTISGARH,2002,Truck/Lorry (Private),356,63,419
CHHATTISGARH,2002,Bus (Government),5,0,5
CHHATTISGARH,2002,Bus (Private),86,23,109
CHHATTISGARH,2002,Tempo/Vans (Government),0,0,0
CHHATTISGARH,2002,Tempo/Vans (Private),50,17,67
CHHATTISGARH,2002,Jeep (Government),2,0,2
CHHATTISGARH,2002,Jeep (Private),164,33,197
CHHATTISGARH,2002,Car (Government),0,0,0
CHHATTISGARH,2002,Car (Private),37,4,41
CHHATTISGARH,2002,Three Wheeler,14,1,15
CHHATTISGARH,2002,Two Wheeler,316,28,344
CHHATTISGARH,2002,Bicycle,123,15,138
CHHATTISGARH,2002,Pedestrian,115,40,155
